organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
kOFBpSMhe9h,Arito Langi Health Centre,13484,,,1,,4
QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,,1,1,19
uxV4eRadYaX,Arombe Medical Centre,28500,,,,,3
Ygb7V9pnRo6,Aruba Dispensary,22594,,,,,2
GiQGODA5NZB,Asat Beach Dispensary,13487,,,,,4
uYsMyJiKEjP,Asayi Dispensary,16783,,,1,,9
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,17524,,,,,1
EqHuyV3yh0M,ASN Upendo Village Dispensary,15762,,,,,1
wA8Ioia7gEP,Assumption of Mary Health Centre,10040,,,,,3
FPGtNGfdSlZ,Asumbi Mission Hospital,13488,,,2,,15
mubdg2NphtL,Atela Health Centre,18610,,,1,,5
bxtsV3tmxZi,Atemo Health Centre,13489,,,,,3
u8TCfCqeQpJ,Athi Kamunyuni Health Centre,11934,"At Athi Kamunyuni Shopping Centre, 25 km east of Kambu Town, through Daranjani Railway Station",,1,,4
rtOVeE98u6G,Athi River Medical Services,11937,,,1,,3
wP62wKmuZjz,Athichem Modern Medical Centre,25802,,,,,1
t6mwHRbgVVb,Avenue Hospital Kisumu,20123,,,1,,4
ISsRMwepdm7,Awasi Mission Health Center,13491,Health center,,1,,10
ZBtoRProc6e,Awendo Sub County Hospital,13492,,,2,,18
SptPbIhiRqV,Ayucha Health Centre,26516,,,,,2
CXAJP0JoCDZ,Baari Health Centre,10043,,,,,5
CzGqegvtcf5,Babadogo (EDARP),12875,,,3,,23
obSn4iRC7wn,Babadogo Health Centre,12876,,,5,,20
cCdKtQlL8El,Bacasavi Medical Centre,22343,,,,,1
X7szCNmxLXn,Bahai Dispensary,17190,,,1,,1
cQa0PvCvbxM,Bahati District Hospital,14224,,,1,,19
emnI9dqORPt,Bahati Hospital,12879,,1,5,,20
pfwB2vUsn3e,Bahati Hospital - Tala,26188,,,,,3
ov8IEjpIk1j,Bahati Hospital(Joska),21204,Situated along Nairobi - Kangundo Road at Joska Market,,,,2
ufQ6CGUyiTo,Bahati MDR Dispensary,12878,,,,,3
hHFDDKwv5UN,Bahati Rural Health Centre,14223,,,,,2
Vq3RfgqSNuL,Bakari Medical Clinic,23231,,,,,1
zguJ8J2gx2C,Balich Dispensary,13299,,,,,20
kZP86ulsOJr,Bama Hospital,13493,,,2,,10
UvWDhQlknid,Bamba Sub County Hospital,11237,,,,,1
IKdUHYliWr5,Bamboo Health Centre,10044,,,3,,18
dO93Ue6OwRr,Bamburi Dispensary,11239,,,6,,21
hLMDMOsAv6Y,Bande Dispensary,13494,,,1,,2
D42FRdqN4Jy,Bangali Dispensary,11242,Dispensary,,,,2
wPX0yiOC6WV,Banita Dispensary,14226,,,2,,3
oYc9S0YvbLH,Banja Health Centre,15805,,,,,6
RrxywQuOoio,Baolala Dispensary,11244,,1,,,2
DqwooToZ1N9,Bar Achuth Dispensary,13495,,,1,,5
gFFdF6hGiFe,Bar Agulu Dispensary,13496,,,,,2
yonouRgu7l7,Bar Aluru Dispensary (Rarieda),13497,,,2,,7
DrkmmYfcr91,Bar Hostess Empowerment Support Program (Roysambu),23200,Situated off Thika Superhighway along Kamiti Rd-Roysambu,,,,22
lq9mb305HDu,Bar Korwa Health Centre,13498,,,,,6
bhfD7RGs2gk,Bar Ndege Dispensary,16784,,,,,4
sK3DDy5tVCy,Bar Olengo Dispensary,13499,,,1,,5
ZL7FkyG3uwc,Bar Sauri Health Centre,16785,,,,,5
wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,,,,5
tBD7EcDrqR8,Baraka Dispensary (Nairobi),12881,,,,,59
wLm7XgmJoKw,Baraka Hospital,17757,,,,,2
d8KDRlVNVFA,Barakani Community Healthcare,16532,,,,,1
dHfz2Btkj1g,Barani Dispensary,29476,,,,,5
jetCZf5Uzd1,Barding Dispensary,18396,,,,,2
qtU8tJxdRSU,Bargain Medical Clinic,18381,,,,,1
OGia3FphS8p,Baricho Dispensary,11248,,,,,1
yQujnfNnzQJ,Baricho Subcounty Hospital,10049,,,,,2
NcCkDlIqJuM,Baringo County Referral Hospital,14607,,,1,,8
Vs8n6qr7VSP,Barkorumba Health Centre,25956,,,,,1
KpP492AtgPu,Barsheba Medical Clinic,18071,,,,,1
icSyYdS2PaS,Barut Dispensary,17793,,,,,39
I8xFBVGqqHf,Barut Medical clinic,21142,,,,,2
CbujJS1UPZj,Bashan Medical Centre,29699,,,,,1
lnFZf9dVTe9,Bay Leaf Medical Clinic,20382,,,,,1
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667,,,,,28
yUIJu0YzY70,Belgut Dispensary,17085,,,,1,
fCLmgx815vO,Bellevue Health Centre,10055,,,,,1
YjzBFHmaVTv,Benga Dispensary,16786,,,,,1
nUv7TS3z7kp,Benmac Clinic,14247,,,1,,1
m1CfptepCVX,Bennedict XVI Hospital,10056,,1,,,5
wF4m03C8BPG,Beril's GWP Medical centre,26205,,,,,3
uWZStRB5zxs,Bethany Dispensary,23695,FBO Facility,,,,3
CS8aFEi7mCs,Bethesda Nursing Home(Naivasha),22917,Nursing Home,,,,3
wjbD0Xdhq5q,Beyond Scope Hospital,25717,,,,,1
lVLswpJFajQ,Beyond Zero Mobile Clinic Endebess,23557,,,1,,2
QdXBJMDuLh5,BHESP MOWLEM DICE CLINIC,22863,,,,,43
PaKMtCzMDnk,Biafra Lions Dispensary,12883,,,,,7
d2rzxeVcRN1,Biafra Medical Clinic,12884,,,,,1
vUIa955kXzn,Bidii Health Centre,18532,A newly constructed facility,,,1,6
yk52nyJ5L27,Bikeke Health Centre,16361,,,3,,6
jk4O2UhUcOy,Biketi Dispensary,22545,Dispensary,,,,1
wPoz7tDb3nG,Bilashaka Dispensary,23129,Near bilashaka primary,,,,1
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955,,,,,12
pDCYtQMYzkW,Bissil Health Centre,14259,,,6,,18
gW3n6Bb4Mby,Bisunu Dispensary,23587,,,,,1
aZCS6UZRpdL,Bitare Dispensary,13502,,,2,,5
