organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
cdSguOsrorH,Iraha Dispensary,13619,,,,,1
Vsi9SfaITuG,Iran Medical Clinic,20227,Clinic,,,,2
XGZfxVpbX5c,Iranda Health Centre,18939,,,1,,2
Ww8j3aByxSP,Iranda Sub-County Referral Hospital,13620,,,1,,1
ucW6XW63WRd,Iriani Dispensary,29127,,,,,1
CVh69HG6IeO,Irondi Dispensary,13621,,,,,1
uKxxqdzRPJ9,Irwaga Health Centre,14580,,,,,2
omj3gtbrF22,Isamwera Dispensary,16425,,,1,,1
dwsqnJOgFCH,Isebania Prevention Centre,20019,Stand alone VCT,,,,7
gFC5kCFDDqG,Isebania Sub County Hospital,13625,,,4,,23
kgwPDqMydjo,Ishiara Sub-County Hospital,16464,,,,,4
wKoJ3NCXobv,Isibania Mission Health Centre,13624,,,1,,1
xbZUlr9VgCK,Isinet Health Centre,14581,,,2,1,17
zDGztuhkhx7,Isinya Health Centre,14582,,,6,1,25
B38UbNDmnjU,Island Dispensary,23972,,,,,1
aqfZGfHVbn2,Isoge Health Centre,13626,,,,,2
Wmm9bP13tUz,Isumba Dispensary,19991,Shibuli Bukura Road Branch left the bridge to Isumba,,2,,3
bT0xdjSkCSV,Itando Mission of Hope and Health Centre,18512,,,,,3
iL2iba7ppjk,ITARC Kenya Limited(Naivasha),25215,Medical Clinic,,,,3
rMFo6FPj2Cl,Itare Dispensary,14584,Dispensary,,,,1
D5gyEB6g8G9,Itembe Dispensary,14585,,,,,6
OlQmO4Cr8Bz,Itembu Dispensary,16879,,,1,,3
Q5AJ6hof4bq,Iten County Referral Hospital,14586,,1,,,6
DnoqaWqpOTa,Itete Dispensary,25720,,,,,3
w6so9GSaap0,Ithanga Health Centre,10357,,,,1,12
G5nMS2OZrdN,Ithimbari Dispensary,12097,,,,,1
GWyiedUwAyx,Itiati Dispensary,10360,,,,,2
TK5G8AnqHxV,Itibo Eramani Dispensary,13627,,,1,,1
BB8Fv5gv7SE,Itibo Mission Health Centre,13628,,,,,4
zrKMjzUOZov,Itumbule Health centre,17241,,,,,1
yUt0nmg89LB,Itunduimuni Health Centre,12101,,,1,,2
jQB1cLLFmMu,Iuuma Dispensary,12103,,,,,2
iw6A6nx6ugM,Ivochio Dispensary,21089,,,,,2
oCSNlBnL6p2,Iyabe Sub County Hospital,13631,,,5,,13
vcS6HzKzyBG,Jacaranda Maternity (Kiamumbi),20403,,,2,,
TZI20Kftl5m,Jacaranda Maternity Hospital,29112,,,2,,
ytfKWdbuXdl,Jagoror Dispensary,14588,,,,,2
mifYMNSf2hN,Jalaram Medical Services,21223,,,,,1
FvG8gxqqOvf,Jamaa Mission Hospital,12984,,,,,2
HwRb5Ackqm4,Jambo Healthcare Limited,11425,,,,,2
IPuJB69xbia,Jamia Medical Centre,15906,,,1,,2
drgqgyi497v,Jamii Clinical Services Clinic,14115,In Siaya Town within ACK compound,,,,1
voXeBFTmYqI,Jamii Health Care,25251,,,,,1
dZqf3vmMjm0,Jamii Hospital,10368,,,,,6
vYLDQuit7QN,Jamii Medical Clinic (Mukuru),19446,,,,,4
et67lpNreq1,Jamii Medical Clinic (Mwala),12108,,,,,1
ugxGN7NQ974,Jancam Medical Centre,21087,,,,,1
a8sU1OkbQd2,Janeiro Nursing Home,21135,,1,1,,8
paXJVpz9TOS,Jarajara Dispensary,13376,,,,,24
UZlFjPJGpjz,Jaramogi Oginga Odinga Teaching & Referral Hospital,13939,,2,7,,89
CyfO1ILvCuj,Javid Townview Medical Centre,27716,,,,,1
vm1q2CVrsgu,Jawabu (Community) Medical Clinic,13633,,,,,4
JM72QVwNQhk,Jera Dispensary,13634,,,,,1
XN6yIZhe3bj,Jericho Health Centre,12988,,,,,10
tH4jWfv5j99,Jerusalem Dispensary,12989,,,,,1
naa6PTuNZM4,Jevros Clinic,13635,,,,,1
f4qVre0RVQQ,Jila Model Health Centre,21544,,,1,,2
INawALMkXAS,JKUAT Hospital,10378,,,,,1
SiFad15yKhZ,JM Kariuki Memorial County Referral Hospital,10916,,,2,,18
OjKfyArZa2J,Jocham Hospital,11434,,,,,2
RBuEslQ9VB2,Jodams Medical maternity Clinic (Kenyenya),17677,,,,,2
xqaBLbY0YeV,Joeton Medical Clinic,26258,,,,,1
QMHy1WuUYtI,Joint Partner Medical Clinic,16455,,,,1,1
ttlDLtD7gUI,Jomvu Kuu (MCM) Dispensary,11437,,,,,5
MP8fPGLlphd,Jomvu Model Health Centre,11436,,,3,,14
cKbvS2EeokA,Jomvu Wellness Centre,21076,New Facility,,,,8
yZv0nIvtuNa,Jordan Medical Clinic,11439,,,,,1
esttroX6iNS,Jotram Medical Centre,23561,,,,,1
Ot9rbB7cawr,Joyellen women hospital,24112,near ongiga odinga road,,,,1
s660dO8z7o6,Juja Farm Health Centre,10386,,,4,1,7
YxbIk1AfJVa,Juja Modern Hospital & Maternity,22321,Private,,,,3
n33t3QkAiUY,Jumuia Hospital (Huruma),12972,,,,,3
y0kyyERURWh,Jumuia Mission Hospital Kaimosi,15913,,,,,12
z3nsKrp3b87,Jumupamozzi Medical Centre,21678,PRIVATE,,,,1
PYpFtijsCdO,Junction Medical Clinic,16450,,,,,2
lR6W5tK8hAq,Junda Dispensary,20491,,,1,,13
ehWIvgTwDHI,Junju Dispensary,11444,,,1,,2
lFZ0yIDgUyJ,K-Met Corkran Medical Clinic,17554,,,,,9
crSbiV0rS0m,Kaani Dispensary,12118,,,2,,1
GeQ8joSYNcm,Kaanwa Dispensary,12119,,,,,2
DRYHZsgOAjz,Kaapoka Health Centre,14579,,,,,8
vjX2moFDHOH,Kaare Dispensary,12120,,,,,2
l6jqUUJvImb,Kabarak Health Centre,14606,,,,,9
dla1WFT8f3a,Kabare Health Centre,10388,Kabare shopping centre-off Kutus/Kimunye road,1,2,,3
ITJntrnFN4A,Kabati Dispensary (YMCA),28739,,,2,,6
ciJFdty24Uw,Kabatini Health Centre,14610,,,2,,3
kjaG0y8s2NK,Kabazi Sub County Hospital,14611,,1,1,,5
KmYG2XJfp6W,Kabianga Health Centre,14613,,,1,,7
FHRzDPLEc8g,Kabiangek Dispensary,23026,,,,,1
JTzEgarJilV,Kabichbich Health Centre,14615,,,2,,11
Zzn7r9ALZIk,Kabiemit Health Centre (Mosop),14618,,,,,1
N20zYMSUtas,Kabirirsang Dispensary,14630,,,,,6
nI0fEz1e6WH,Kabiro Medical Clinic,12995,,,1,,1
XzKZTSICokw,Kabiyet Sub County Hospital,14623,,,,,3
jzQPk6CszMu,Kaboi Dispensary,17023,,,,,2
I8V34hZckH7,Kabolecho Dispensary,14626,,,1,,3
IpxTP5z54Zq,Kaborom Dispensary,15910,,,,,1
fMFsmycdb6z,Kaboson Health Centre,14628,,,,,3
C4YEx5WBZn0,Kaboywo Dispensary,15909,,,,,3
OOXFr1NfIlA,Kabuchai Health Centre,15911,,,1,,6
S1i3cmxCbgX,Kabula Health Centre,15912,,,2,,8
WEUJ07JBWMz,Kabungut dispensary,22022,,,,,1
Jw3wFc9SfsA,Kabunyeria Health Centre,14632,Health Centre,,,,1
FeUHA7ixSA6,Kabura Uhuyi Dispensary,17531,,,,,2
WLvYlxbdgy7,Kabutii-Matiret Dispensary,14633,,,3,,18
iSWYUchYnlP,Kabwareng Dispensary,17626,,,1,,1
oGOpu3nlItw,Kacheliba Sub County Referral Hospital,14634,,,1,,21
Uv4ODfDwEB8,Kachoda Dispensary,14636,,,1,,
fNm4rcRIKUF,Kachororoni Dispensary,21545,,,,,3
wUI5w5hVFXn,Kachuth Health Center,18876,,,,,1
Z7ruKy2DyTa,Kadem Tb & Leprosy Dispensary,13640,,,,,17
iAuQRWVoRpK,Kadenge Ratuoro Health Centre,13641,,,1,,3
fN7KqlgwStu,Kaderbouy Medical Clinic (Old Town),11446,,,,,3
i6oyLBSxWfZ,Kadhola Health Center,16769,,,,,7
My0xFBJaM5c,Kadinda Health Centre,16283,,,,,2
k1gDvwc81yh,Kadzinuni Dispensary,11447,,,,1,5
K4FWeDZV2o0,Kaelo Dispensary,17381,,,1,,3
Lbmua1AMw7d,Kafuduni Dispensary,11448,,,1,,4
mJHLF17zwJo,Kagaa Dispensary,23079,,,,,1
BuKsUiPIIkt,Kagaa Health Centre,10394,,,,,1
CUCTqzLEY0L,Kager Dispensary,13643,,,,,1
HVp36PfKkdW,Kagere Dispensary,10396,,,,,2
wUASuo4QLIg,Kagicha Dispensary,10397,,,,,1
UUbhK0ZeTTz,Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),10398,Kagio town-off Kutus/Sagana road,,,,1
Sb3Ui4btUGc,Kagio Hospital,10399,,,,,2
P59xcax8Zlb,Kagonye Dispensary,10400,,,,,1
L3Cj0eucYCp,Kagumo Health Centre,10402,Kagumo market off Kerugoya/Karatina road,,,,2
bSN3R6IJpBF,Kagunduini Dispensary,16971,,,1,,4
T9MIrcv0VeS,Kagwa Health Centre,13644,,,1,,2
YtsM0MqcxLu,Kagwe Dispensary,10413,,,2,,8
FYFa6uKr7mQ,Kahawa Dispensary,13645,,,,,1
dtRiIn99llQ,Kahawa West Health Centre,12997,,,6,,18
q6NwSRm7CoV,Kahembe Health Centre,10419,,,,,1
xNQuM1wTWrJ,Kaiboi Mission Health Centre,14640,,,1,,4
LBDUxvoZSdI,Kaikor Sub County Hospital,14643,,1,,,3
lkXTcVtB8kE,Kainuk Health Centre,14645,,,,,2
ElmUOzGmHlj,Kairo Dispensary,10432,,,,,1
NsOtD5QOM4t,Kairuri Health Centre,12130,,,,,2
sc8JYN2izf0,Kaisagat Health Centre,14646,,,,,1
V6UNvIuFoWM,Kaitui Dispensary,14649,,,1,,3
d69tynUHL9A,Kaiyaba Dispensary,10435,,,,1,5
E5KIT8GkN4q,Kajiado (AIC) Dispensary,14650,,,,,2
tGLKciw2MGf,Kajiado County Referral Hospital,14652,,,3,,34
zDIvojMpYu1,Kajieyi Health centre,13646,,,,,2
R3tvYrwsSZA,Kajuki Health Centre,12132,,,,,1
Hz3BwMUktOJ,Kakamega County General Hospital,15915,,1,6,,37
kWzAmRGUHal,Kakamega Forest Dispensary,15914,,,,,2
RUhEEE3keZi,Kakeani Health Centre,12134,,,2,,2
KBl5hvYp5uF,Kakimanyi Dispensary,21739,,,,,1
i23GR6I37ID,Kakiptui Dispensary,14653,,,,,2
Wj1gBKsF1lB,Kakuma Mission Hospital,14655,,,1,,12
Mvevx0bAZh0,Kakuma Sub County Hospital,21335,,,,,4
sS95RyqYQ0d,Kakuyuni Dispensary (Malindi),11453,,,1,,7
zAPJPYf65xo,Kakuyuni Health Centre,16433,,,1,,4
Jzl5RlzbQAf,Kalacha Sub County Referral Hospital,12142,,,,,2
sVmlP6GIQmS,Kalalu Dispensary,14659,,,1,,1
e0eHfNQ5SwY,Kalama Level 4,12144,,,,,1
SkQZUBdlpnz,Kalamba (AIC) Dispensary,17431,,,1,,3
tYreNwfQXSU,Kalandini Health Centre,12146,,,2,,2
yFeGs5Liwzi,Kalawa Sub County Hospital,12147,,,,,9
xnQusGYwi6h,Kalemungorok Dispensary,14660,,,,,1
Hye6HfITIcg,Kali Health Centre,12149,,,,,1
dxeSMnthYrh,Kaliani Health Centre,12150,,,,,2
IGIxEQcVAMS,Kalimapus Dispensary,17231,,,,,2
JeuBdNUUREJ,Kalimoni Mission Hospital (Juja),10438,,,2,,4
mhju90CRZcr,Kalisasi Health Centre,12154,,,,,1
N636nMR9Hsh,Kalokol (AIC) Health Centre,14663,,,,,10
ZEPXu4MCbVp,Kalokol health centre,20773,,,,,6
h30PQ7TRRWD,Kaloleni Dispensary,12998,Operational,,1,,17
NLyozIGXjXB,Kaloleni GK Prison Dispensary,24209,It a GK prison dispensary found in Kitsurini prison which is located along Mariakani/Kaloleni road,,,,1
IVUGLaHGkCK,Kalulini Health Centre,18516,,,,,1
xhfTwAI9TDu,Kalulini Health Centre (Kibwezi),12156,,,,,4
VNxw3GkWlCv,Kaluluini Dispensary,22945,,,1,,1
SaC88wqvxMt,Kaluo Health Centre,13648,,,3,,5
BV6ZAcRIkRb,Kalyongwet Dispensary,17308,,,,,2
yhwOZ6Vnfmw,Kama Medical Clinic,17660,,,,,1
VHMBfnYDNGc,Kamaget Dispensary,14666,,,,,1
ZxV8XqgDgSE,Kamahuha Dispensary,10441,,,,1,6
ebuf0Ix1pYu,Kamara Dispensary,14668,,,1,,6
BEjIOW8DUVY,Kamashia Health Centre,18802,,,1,,2
cgGKqOQ5YLB,Kambajo Dispensary,13651,level 2 facility in maranda division,,2,,7
s11x854JKz0,Kambandi Dispensary,12162,,,,,1
BEJQPDKe2Mo,Kambare Dispensary,17527,,,,,3
vCIs8c3Q975,Kambe Dispensary,16192,,,2,,4
Qv92hTqycLz,Kambi Ya Waya Dispensary,20771,OPERATIONAL,,1,,2
iVcHfvdHPN8,kambini dispensary,24066,,,,,1
Z3nXezhi41F,kambini Dispensary,20392,near kambini market,,,,3
qknYkm1vsuY,Kambiri Health Centre,15916,,,,,4
tGo0KUb4CSN,Kambirwa Health Centre,10443,,,,,1
TGDQ4YJ1kik,Kambiti Health Centre,10445,,,1,,2
QUEf4kJAS00,Kambu Catholic Dispensary,11962,,,,,3
ec7ckAJP9J8,Kambu Sub County Hospital,18596,,,2,,13
NGH1by3UZpG,Kamiti Prison Hospital,13000,,,,,24
aN1Tlm1CJ1S,Kamkomani Dispensary,19189,,,1,,1
ihrau4rSsJu,Kamoko Health Centre,10450,,,,,3
ZAIMQkZn08B,Kamolo Dispensary,17242,,,,,2
adGXbVr50NZ,Kamtonga Dispensary,27364,,,,,2
Uq2KhRlVrEt,Kamuiru Dispensary,21898,,,,,1
BpupuJNnQGM,Kamukuywa Dispensary,18346,,,2,,6
WKj9oHwVbNQ,Kamulu Medical Centre,18389,,,,,3
Zl8JMj5NOHk,Kamumu Dispensary,12164,,,,,1
bBR2tEjDFYQ,Kamurguiywa Dispensary,17640,,,1,,
qZlDGlfVWm0,Kamuriai GK  Dispensary,21024,,,,,2
oT7VzeRbscK,Kamutei Health Centre,12166,,,1,,1
JlDeIU6h4cv,Kamuthanga Dispensary,12167,,,2,,6
NCEgLpQqqXx,Kamuwongo Health Centre,12169,,,,,5
oii4V7vuPXN,Kamwathu Dispensary,12170,,,,,1
xclp6u0mP4D,Kamweli Dispensary,20509,,,,,1
HJyrCQiw1lb,Kamweti Dispensary,10458,Kimunye market-fisheries compound,,,,1
lnxSW2jBvnL,Kamwingi Dispensary,14679,,,,,1
JW0Lexz7zKS,Kanamai Health Care,11454,,,2,,3
Yb6lAcfCEEe,Kanamkemer Sub County Hospital,25423,,,1,,10
Any5e34YGqV,Kanawoi Dispensary,14683,,,,,5
ZZujQQAMYSq,KANCO DIC Kakamega,21802,,,,,1
ESoLRozyeZs,Kanco Wellness Centre Mariakani,22024,Located at Salim Awadh 1st floor door 105 and 106 Mariakani,,,,5
VdAAkjhq6Fk,Kandara sub county hospital,10459,,,3,,9
E8uyiuF3BqN,Kandege Dispensary,13652,,,1,,2
xAqqRiXjUW3,Kandiege Sub-District Hospital,13653,,,,,2
M58mibZQHdh,Kandongu Dispensary,10461,,,1,,2
VdCMsRPURzu,Kanga Onditi Dispensary,21395,Situated in Kaler Division Nyatike Sub-county,,,,2
hxBXSpghyOY,Kangaita Health Centre,10462,Kana]gaita shopping centre,,,,1
ByG4pBEKa9B,Kangalita Dispensary,17476,,1,,,1
F4nfu4TzPnq,Kanganga Dispensary,15920,,,,,2
Lpc3U99ALpL,Kangari Health Centre,10465,,,,,3
v3wxgh8Do9U,Kangaru Dispensary (Kirinyaga),10468,Kagio town-off Sagana/Kutus road,,1,,2
RmX34fyMVB3,Kangema Sub-County Hospital,10470,,,,,8
y42Usl6TdyJ,Kangemi Health Centre,13001,,,7,1,35
WfFj7AViPVL,Kangeso Dispensary,22980,Kangeso Dispensary is located in South Kamagambo Ward 5km from Ngere,,,,3
Y9yshydrsHG,Kangeta GK Prison Dispensary,17065,,,,,2
wAbEG7TlDWH,Kangeta SCH,12174,,,1,1,6
P8adKzBQMxY,Kangir Health centre,20169,Dispensary,,,,2
HOt2sRVZXbG,Kangu Dispensary,10471,,,1,,5
F9IW97vowsp,Kangundo Sub county Hospital,12177,,2,3,,27
R43KcJMZGP3,Kaningo Health Centre,12178,,,,,3
ixOiUM1rnYq,Kanja Health Centre,12179,,,,,1
dF7Qw5e8Xh4,Kanjama Dispensary,10472,,,,,1
wPQb02U3UHx,Kanjuiri Dispensary,10473,,,,,6
Ju1VTrrdBjr,Kanusin Dispensary,14688,,,,,1
OhVOBYmtprM,Kanyagwal Dispensary,13654,,,,,4
fKR3N7cmgQl,Kanyakine Sub County Hospital,12181,,,,,10
lYQGgd4vdRL,Kanyangi Sub County Hospital,12184,,,1,,7
zUR10GhV7xz,Kanyenyaini Health Centre,10474,,,3,,3
WVYx572Ch3P,Kanyerus Dispensary,20084,,,1,,1
DZzPH9GiDc5,Kanyoni Community Dispensary,20218,,,2,,3
g1HYtKfYXZl,Kanyoni Dispensary,21121,,,,,1
R41QQ3YpoYu,Kanyuambora Dispensary,12185,,,,,4
inE0jvEzPhS,Kanzau Dispensary (Mbitini),16994,,,,,1
pKwQQQX1kLw,Kanziku Health Centre,12190,,,,,2
H6dJ8tUSdoq,Kaongo Health Centre,12192,,,1,,4
bMuvN0wpjLT,Kaoyeni Dispensary,26389,,,,,1
snqETIQYKC4,Kapchumbe Dispensary,17722,,,1,,1
XeFZTKPNo1U,Kapedo Sub County Hospital,14699,,,1,,
nw9YVA9Tx6R,Kapiyo Health Centre,13655,level 3 facility in maranda,,2,,5
cqhuJyqvQEI,Kapkangani Health Centre,14704,,,,,7
xq0lRpKYnEm,Kapkateny Dispensary,15922,,,,,4
GOhRziVaDUw,Kapkatet Sub County Hospital,14706,,,10,,37
Xax5FUtTypT,Kapkeben Dispensary,14707,,,,,1
dlHoi7AYDWY,Kapkelei Dispensary,17293,,,1,,
UcciaX3qKMS,Kapkenyeloi Dispensary,14711,,,,1,3
fw9Arb6b5l9,Kapket Dispensary,19884,,,,,3
Hcnbov5yOnL,Kapkiam Dispensary,14715,,,,,1
ZyLAsGNThc4,Kapkibimbir Dispensary,17642,,,,,1
i4X6m9xSgxA,Kapkimolwa Dispensary,14717,,,,,1
H7gQUeop420,Kapkisiara Dispensary,14718,,,1,,
O7dzFmz0Df7,Kapkoi Health Center,14720,,,1,,8
SofFIp5ILCw,Kapkoros Sub-county hospital,14728,,,1,,10
VXcXQZZcb0I,Kapkota Dispensary,17076,,,,,1
BsRAEfmFfM3,Kapkures Health Centre (Nakuru west),14733,,,2,,6
DZ6jQqCN4Zo,Kaplamai Health Centre,14734,,,,1,9
N5zFU9qwwa6,Kapletundo Dispensary,16317,,,,1,1
Epg5CqAuaHn,Kaplong Hospital,14741,,,1,,9
NdHLRxsqK4Q,Kapokor Dispensary,21369,,,1,,5
CCtjKGD19ba,Kapsabet County Referral Hospital,14749,,,3,,23
rRYbcCutXCI,Kapsambu Dispensary,15923,,,,,2
xQluSBj3a0b,Kapsang'ar Dispensary,18148,,,,1,2
P4bWQeI57XU,Kapsara Sub County Hospital,14753,,,2,,12
wss9mfEHkey,Kapset Dispensary,14757,,,,,1
eOYOKmIwEjG,Kapsimotwa Dispensary,14759,,,,,2
i8iYlkT3T2S,Kapsisiywo Dispensary,14761,,,,,1
T4xwbinQdKG,Kapsitwet Dispensary,14762,,,3,,9
fkQtcCa2676,Kapsoit Dispensary,17138,,,1,,16
Oy2kouuB1Ik,Kapsuser Dispensary,17139,,,,,1
A61AJGaCQRl,Kaptabuk Dispensary,14772,,,,,1
oBrCyL6MzyC,Kaptalelio Dispensary,15924,,,,,2
pIRUamww2Tr,Kaptama Health Centre,22508,,,,,10
YZ5v8e9nVY3,Kaptanai Dispensary,15926,,,3,,7
hqiyXj3Cfxz,Kaptech Dispensary,16456,,,,,3
ViEuz0OTxgd,Kaptel Dispensary,14778,,,,,1
KoMmRMAOuAu,Kaptembwo Dispensary,14780,,,,1,2
x7ruP7fXiZQ,Kapteren Health Centre,14781,,,,1,4
Ld9B7Q6l7QY,Kaptien Community Dispensary,17130,,,,,1
Y8kQF9aAUHe,Kaptum Keiyo Dispensary,17758,,,,,1
u1GwmEW9bNo,Kaptumo Sub-County Hospital,14792,,,,,2
mIx0k3vFrCb,Kapweria Dispensary,14797,,,,,1
QMdjmr0246S,Karagita Health Centre,14801,,,3,,9
am3tU3bLhO8,Karama Health Centre,12195,,,,,1
eF53TyG4scM,Karampton Dispensary,29161,,,,,1
TMUJ5UJprr0,Karati Health Centre,14802,,,,,3
h4zDCreUH2T,Karatina Model Health Centre,19998,,,2,,
bLeCBUFM3wP,Karatina Sub-county Hospital,10485,,,3,,13
vzZ53lAMdJp,Karatu level 4 hospital,10489,,,1,,2
p6UH78HVmTF,Karemeno Health Centre,10490,,,1,,2
T0QCTzRDCcr,Karen Health Centre,13003,,,1,,9
J9pTqQfwbcA,Karia Health Centre (Nyeri South),16998,,,,,1
Waoec9qt8ol,Karima Health Centre,15927,,,,,9
PzxQ5uvOkA6,Karimboni dispensary,20344,Between Dagamra and Mwangatini,,,,1
ZV2iIKpKltH,Karindundu dispensary,20311,,,1,,2
EEKdchSCqh9,Kariobangi EDARP,18743,,,,,17
iBcBmbBexUS,Kariobangi Health Centre,13006,,,4,,26
tlOLq1sNrig,Kariobangi South Dispensary,17434,,,2,,6
g653XuQUVyj,Karumandi Health Centre,10504,Karumande market-off Kimautugu/Embu road,,,,2
kjk57sOcpCK,Karunga Health Centre,14805,,,,,1
NRf14PUD9xc,Karungu Sub-County Hospital,13656,,,1,,21
Pa9tT2RsExD,Karuoth Dispensary,17533,,,1,,5
JQnQJCpt8av,Karura Health Centre,13009,Located along Kiambu Road,,3,,11
nWf6iMxnn0Z,Karurah Dispensary,20510,,,,,1
zYFy90m10i1,Karuri Level 4 Hospital,10507,,,4,,15
oaUZAfsPmoJ,Karurumo Rhtc,12203,,,1,,6
tgcsqKSppEP,Kasaala Health Centre,12204,,,,,1
lbze9EfO7qb,Kasarani Dispensary (Gilgil),19740,,,,,1
FGeEpfWlpMJ,Kasarani Health Centre,13010,,,4,,16
MGOxlVHWhrP,Kasarani Maternity,13011,,,1,,5
ScQOsSuh3X6,kasemeini dispensary,20793,,,,,3
hJhI78dHfsd,Kasewe Health Centre,20153,,,2,,4
GJda6nR1YiA,Kasigau Rdch,11455,,,,,1
EUJpFi9eVHO,Kasikeu Health Centre,12208,,,,,2
D1sNaKhXlyS,Kasongo Dispensary,16282,,,,,4
LT6XGXS57II,Kasuku Health Centre,10509,,,,1,2
FebaIb9iFnK,Kasunguni Dispensary,12210,,,,,1
GSUKk4Qj6CN,Kasunguni Dispensary (Kaiti),22822,,,,,1
WTPcSOaXGq9,Kataboi Dispensary,14814,,,,,3
hiLD4yCxIAC,Katakani Dispensary,12213,,,,,1
GPXXnUS62UB,Katangi Health Centre,12215,,,2,,13
pJvdkpjzwxG,Katangi Mission Dispensary,12216,,,,,1
uJ7BjSRHoVM,Kathaana Dispensary,17616,,,,,2
jSOWQUkhPVF,Kathangacini Health Centre,12222,,,,,1
aqK5rfDMD1h,Kathangari Dispensary,12223,,,,,2
BibHU7Mu1K9,Kathangariri Dispensary,12225,,,,,2
Jg3AKpoTgyf,Kathanje Dispensary,12226,,,3,,3
cw60Sjxkr6J,Kathathani Medical Clinic,19992,,,,,1
p6OOqwGbiA0,Kathiani Sub County Hospital,12230,,,,,8
G9Fbh4fc5zU,Kathonzweni Health Centre,12236,,,2,1,8
KkNGpcXwBOw,Kathukini Dispensary,12237,,,1,,4
bDOdVR8D13R,Kathwana GK Prison Dispensary,30750,,,,,1
nt7yFHxbYfK,Kathyaka Health Centre,12240,,,1,,2
BAtfedDlU9v,Katilini Health Centre,12241,,,,,1
LXsaR9BQim1,Katilu Sub County Hospital,14818,,,,,2
jlWXLaZNtbr,Katito Sub County Hospital,13657,,,,1,12
CZEFya4R7Q9,Katolo-Manyatta Dispensary,18421,,,,,2
Eu4DUBxnPbV,Katulani Health Centre,12244,,,,,2
VgkdbpChtIJ,Katulani Sub County Hospital (Kitui),16991,,1,1,1,8
nu1AbGb9CAd,Katulye Dispensary (Kibwezi),19888,,,,,1
Zt9yjhRMHo2,Katutu Health Centre,12249,on Kitui-Kabati-Thika road before reaching Kanyoonyoo -Embu n Mwingi junction,,1,,1
S4GqmehPtUY,Katyethoka Health Centre,12251,,,,,1
PkmRqxHGui2,Kauma Health Centre,12252,,,1,,1
AP3Z7jKwro7,Kauma Health Centre (Rachuonyo),13658,,,2,,4
MU0mGqk0o63,Kaunguni Health centre,18316,,,,,1
jITbLZIElAa,Kauta Good Hope Medical Clinic,28711,,,,,1
nLISoUBRUAF,Kauwi Sub County Hospital,12255,on the way Kitui-Kanyoonyoo-Thika road near Kabati town,,3,,15
y8mnrv5yU4B,Kavata Nzou Dispensary,12256,,,,,1
P3f1rMxZYHL,Kaviani Health Centre,12257,,,1,,2
UozAEw1GadF,Kavumbu Dispensary,12261,,,,,2
OgXparmoRzl,Kavumbu Dispensary (Mwala),16650,,,,,1
tTjyLEUr0bY,Kavuta Dispensary,12262,,,1,,1
limoYODPskY,Kawalase Dispensary,22409,,,,,2
PCzkJj0TRj9,Kawauni Dispensary,17615,,,,,1
lCVPvilzEK3,Kayaya Dispensary,16710,,,1,,2
xwhhhUodw40,Kayole Hospital,13014,,,,,5
wWnSMqLNWOk,Kayole I Health Centre,13015,Off Kangundo Road,,13,,27
xvrQsmtAQsS,Kayole II Sub County Hospital,13016,,,13,,35
RKWO4WFgAf9,Kayole Soweto Dispensary,27276,,,2,,25
gN8hvbR49aC,Kebirigo Mission Health Centre,13660,,,,,4
W9Yb3HlYhsB,Kedowa Dispensary,14824,,,1,,9
lpqoNGEA3ru,Kee Health Centre,16960,,,1,,2
nuI3Yo7ts1Z,Keeyani Dispensary,22634,,,,,1
KvnMTF9ACOd,Kegogi Health Centre,13662,,,1,,3
X2FnCxPnyEH,Kegondi Health Centre,15928,,,2,,11
NoZjHcIDHGW,Kegonga Sub County Hospital,13663,,,1,,3
zkd1yvG220U,Kegoye Dispensary,26777,,,,,1
dwu3NQizNkT,Kehancha Sub-County Hospital,13726,,,1,,15
arsnCibtzLl,Keiyo Dispensary,19752,,,,,6
fHrucmAW82q,Kembu Dispensary,17083,,,,,1
atumVmDAZzs,Kemera (SDA) Dispensary,13666,,,,,1
sk18jkBk3vg,Kemera Medical Clinic,24808,,,,,1
FsLuPqhTGZX,KEMRI Medical Clinic,22582,,,,,1
ide1oUojpWU,Kemri VCT,13019,,,,,1
EhJ2SBfPRSW,Kendu Adventist Hospital,13667,,,2,1,18
lobiB7sMHcN,Kendu Sub-District Hospital,13668,,,1,,18
OQfegQt03Jy,Kenegut Dispensary,14826,,,1,,2
RgYDrx3O3uZ,Kenol Hospital,10512,,,1,,2
q04iUkEkDPu,Kenya Institute of Special Education Dispensary,20303,,,,,2
Ct9bQIfUoA3,Kenya Ports Authority Medical Clinic,18212,,,1,,3
rBHoolpQdPs,Kenyagoro Health centre,14828,,,,,3
JwhMhNUy3sL,Kenyambi Health Centre,13671,,,,,4
brSpidcNdoF,Kenyambi Health Centre (Nyamira),16980,,,,,2
ZWwPSTkiLWX,Kenyatta National Hospital,13023,,1,3,,123
tKlvNnIuqxp,Kenyatta University Dispensary,13024,,,,,2
tLkJI8eWdZu,Kenyatta University Teaching Refferal and Research Hospital,24979,,,,,26
B6t2Uc0FqSP,Kenyenya Health Centre (Nyamira),20141,,,1,,1
