periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Total Positive (Add HV02-10 - HV02-14) HV02-15,MOH 731 15-24 (F) HV01-47,MOH 731 15-24 (M) HV01-46,MOH 731 25+ (F) HV01-49,MOH 731 25+ (M) HV01-48,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Mother-baby pairs_24mths HV02-51,MOH 731 On ART_10-14 (F) HV03-031,MOH 731 On ART_10-14(M) HV03-030,MOH 731 On ART_15-19 (F) HV03-033,MOH 731 On ART_15-19(M) HV03-032,MOH 731 On ART_20-24 (F) HV03-035,MOH 731 On ART_20-24(M) HV03-034,MOH 731 On ART_25+ (F) HV03-037,MOH 731 On ART_25+(M) HV03-036,MOH 731 Presumed TB_Total HV03-058,MOH 731 Screen for TB _1-9 HV03-052,MOH 731 Screen for TB _10-14 HV03-053,MOH 731 Screen for TB _15-19 HV03-054,MOH 731 Screen for TB _20-24 HV03-055,MOH 731 Screen for TB _25+ HV03-056,MOH 731 Screen for TB_Total HV03-057,MOH 731 Screen for TB_<1 HV03-051,MOH 731 Screen CaCx_New F18+ HV03-087,MOH 731 Start ART_10-14 (F) HV03-019,MOH 731 Start ART_10-14(M) HV03-018,MOH 731 Start ART_15-19 (F) HV03-021,MOH 731 Start ART_15-19(M) HV03-020,MOH 731 Start ART_20-24 (F) HV03-023,MOH 731 Start ART_20-24(M) HV03-022,MOH 731 Start ART_25+ (F) HV03-025,MOH 731 Start ART_25+(M) HV03-024
2020,2020,2020,ABuzigW8Lzw,Borabu Sub County,KE_SubCounty_3179,,69,102,110,212,317,428,39,22,375,324,409,330,900,159,13881,6140,63,727,676,710,1003,19321,22470,42,1160,3,,12,2,44,4,189,123
2020,2020,2020,jkQZEow83MX,Bumula Sub County,KE_SubCounty_2969,,170,86,95,142,247,2864,106,51,352,350,420,157,922,169,13562,4526,112,893,682,555,1063,17518,20727,16,71,4,3,16,2,40,4,172,80
2020,2020,2020,KGHhQ5GLd4k,Bungoma County,KE_County_39,,1527,1276,1066,2224,2714,30529,909,817,5409,5483,5746,4170,10200,2947,188537,70552,1303,8462,10140,8883,12155,230017,269875,212,3734,29,9,108,20,355,41,1918,886
2020,2020,2020,zI6vnsXresW,Bunyala Sub County,KE_SubCounty_2973,,226,75,55,206,192,1907,179,197,865,982,973,711,1308,213,31834,20726,92,1048,1791,1580,1293,45538,51272,17,236,3,2,16,2,30,9,156,130
2020,2020,2020,yWPcTwGwQ2B,Bura Sub County,KE_SubCounty_3249,,22,3,,1,36,,26,,27,33,25,42,4918,35,1615,432,342,22,47,49,122,1429,1757,3,6,,,1,,2,2,37,17
2020,2020,2020,wt8cPHWfkfu,Bureti Sub County,KE_SubCounty_3025,,166,44,37,57,63,122,98,93,855,991,1283,864,1998,659,26822,12370,367,1137,1669,1898,2220,36262,43196,10,540,,2,11,1,34,7,188,119
2020,2020,2020,Tvf1zgVZ0K4,Busia County,KE_County_40,,1430,1079,762,2175,2295,14753,979,999,5801,5617,6886,5148,10434,2754,237363,114280,1063,9164,11018,11540,12232,320988,365086,213,6540,16,9,92,13,331,57,1539,1036
2020,2020,2020,K7mZpm8COh7,Butere Sub County,KE_SubCounty_3014,,214,120,70,260,337,2278,138,163,954,755,855,678,1268,242,28398,10714,48,1524,1613,1425,1433,37574,43620,51,170,2,2,16,3,43,6,171,91
2020,2020,2020,RIBiZFJxB1K,Butula Sub County,KE_SubCounty_2975,,261,72,66,181,147,668,185,136,1127,1049,1240,932,1770,663,43655,19923,102,1876,2174,2153,2407,60297,68977,40,336,2,,9,6,61,10,270,202
2020,2020,2020,xN5aPo4ZOIt,Buuri East Sub County,KE_SubCounty_3111,,42,65,42,299,297,24,33,12,169,166,313,124,250,73,8752,3555,97,137,136,195,217,4978,5415,7,,,,2,,7,,48,28
2020,2020,2020,XlYC8FMUgxi,Buuri West Sub County,KE_SubCounty_3260,,34,18,9,34,29,1,24,15,77,92,60,82,306,203,4308,2121,44,155,170,142,262,5802,6535,5,,1,,,,8,,34,25
2020,2020,2020,OvI6w06DhPJ,Changamwe Sub County,KE_SubCounty_3132,,373,173,106,1297,1295,244,295,323,1671,1647,2166,1903,2854,1745,121979,55591,631,2261,3246,4023,4593,176380,190441,37,800,10,4,14,4,61,16,513,330
2020,2020,2020,PUhMyfDD2xp,Chepalungu Sub County,KE_SubCounty_2962,,93,71,40,89,86,48,60,46,384,320,420,250,600,163,10722,4131,232,425,424,335,373,6318,7890,15,1,2,2,5,,14,4,66,45
2020,2020,2020,NZphHeczehh,Cheptais Sub County,KE_SubCounty_1289,,57,166,124,204,291,1434,25,25,334,326,466,174,860,334,6252,2636,42,486,684,616,1195,8841,11822,,,,1,4,,13,1,82,34
2020,2020,2020,f18kGo9yXWo,Cherangany Sub County,KE_SubCounty_3215,,145,492,431,719,795,2957,75,74,562,433,387,327,916,141,11570,5310,539,1025,946,676,1006,15809,19478,20,642,3,3,13,,41,4,170,97
2020,2020,2020,xLWuQq3DjOR,Chesumei Sub County,KE_SubCounty_3169,,117,14,10,24,27,85,75,48,557,414,824,875,896,493,21264,9318,33,523,854,1591,1109,26386,30365,4,71,2,1,2,2,10,5,104,70
2020,2020,2020,JmE1qRVQD4F,Chuka Sub County,KE_SubCounty_3213,Chuka Town -Along Nairobi Meru Highway,79,279,235,495,478,53,49,92,435,333,516,386,914,318,13570,6350,1019,415,714,803,1080,17525,20507,8,846,1,3,7,1,26,9,150,95
2020,2020,2020,EW4Jw4dVWBt,Dadaab Sub County,KE_SubCounty_2991,,,1,,4,11,,,,,,,,,,89,77,,,,,,,,,,,,,,,,1,
2020,2020,2020,CcTr4bcVGAG,Dagoretti North Sub County,KE_SubCounty_3154,,537,120,80,300,281,305,543,346,1010,918,2293,2032,4713,2222,127521,66152,582,1088,1709,3730,5703,160104,172360,26,1546,4,2,23,7,151,25,919,444
2020,2020,2020,sqNWYDHZZ6W,Dagoretti South Sub County,KE_SubCounty_3153,,174,14,8,113,50,95,113,101,1209,1295,1452,1631,1947,764,19708,6874,483,1161,947,1253,1924,26286,31945,365,162,4,5,7,5,58,7,245,114
2020,2020,2020,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,204,39,37,151,154,2840,109,82,727,754,731,546,1168,337,26056,10709,2374,1350,1631,1179,1381,32220,37977,33,623,4,2,16,3,37,4,324,174
2020,2020,2020,XvpLXU47BKs,Embakasi Central Sub County,KE_SubCounty_3145,,631,138,85,362,310,762,408,305,997,953,1233,892,4779,1194,64305,30420,650,1763,1584,1900,5342,78427,89052,17,2424,2,1,27,3,156,19,638,369
2020,2020,2020,gD4xxgDGJ4Y,Embakasi East Sub County,KE_SubCounty_3144,,468,118,72,514,128,911,407,201,760,1078,1029,725,3739,923,67020,32147,965,1199,1438,1300,3489,79010,86489,43,316,,2,26,3,111,17,601,302
2020,2020,2020,SSz1iOv28Jk,Embakasi North Sub County,KE_SubCounty_3146,,514,96,44,135,107,722,346,247,1641,1661,2540,1687,4792,1211,63804,29317,5183,1783,2036,2149,4757,78095,89625,201,2253,4,3,17,2,131,16,471,229
2020,2020,2020,aDp1odOWYC1,Embakasi South Sub County,KE_SubCounty_3147,,214,32,52,90,97,175,104,98,622,560,838,468,2109,544,20414,10610,1445,731,688,796,2684,40339,35192,64,479,2,1,10,,96,8,300,121
